Power,Activation,Strain,Range,Description,Set
Adrenaline Surge,12,2,Self,"This figure immediately gains an additional action during this activation, and an additional action in their next activation.",SG
Antigravity Projection,10,0,LoS,Target figure gains Levitate for the rest of game,SG
Armour Plates,10,2,Self,Gain +2 Armour (Cannot be used with Combat Armour),SG
Armoury,10,0,OoG (B),"Either pays for a set of Combat Armour, OR one standard pistol/carbine/shotgun gains +1 dmg for next game",SG
Bait and Switch,12,2,LoS,"Target figure carrying loot makes Will roll (TN14) or drops it and this character may move 4""",SG
Break Lock,12,1,LoS,Immediately unlock one physical loot,SG
Bribe,14,0,OoG (B),Gain a bribe token. Use to cancel a shooting attack before rolling. (not vs Cap/1st),SG
Camouflage,10,2,Self,"No LoS to this figure over 12"". +2F when shot at by pistol/carbine/shotgun/rapid-fire. Cancelled if stunned.",SG
Cancel Power,12,1,LoS,Immediately cancel one ongoing LoS power.,SG
Command,10,0,LoS,Target unactivated figure activates in current phase.,SG
Concealed Firearm,10,1,Self,"In combat, make +5S attack. If damages, push back 1"" and stun opponent",SG
Control Animal,10,1,LoS,Uncontrolled Animal makes Will roll (TN16) or joins crew for game. One at a time. Free action to cancel.,SG
Control Robot,10,1,LoS,Robot makes Will roll (TN15) or joins crew. Recheck each activation. One at a time. Free action to cancel.,SG
Coordinated Fire,10,0,LoS,"Target crew gains +1 shoot for rest of game. Not if over +5 shoot, and once per figure per game.",SG
Create Robot,14,0,OoG (A),Gain robot soldier to crew of any type except Armoured Trooper. Normal limits to specialists.,SG
Dark Energy,10,1,"12""","+5 shooting attack, ignoring armour. +7 to robots (Armour Interference)",SG
Data Jump,10,1,LoS,"Data loot carried by friend can move to friend within 8""",SG
Data Knock,12,1,LoS,Immediately unlock one data loot,SG
Data Skip,12,2,LoS,"Unlocked data loot moves 4"" any direction. If carried, they make a Will roll (TN16) to resist",SG
Destroy Weapon,12,2,"12""",Destroy weapon (non indestructable) until end of game. Armour Interference,SG
Drone,10,1,Touch,Gain Drone for rest of game. Figure may draw LoS from Drone. One Done max.,SG
